Project_ID,State,Constituency,Work category,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,Elapsed_Days,Predicted_Days,Days_Overdue,Delay_Severity_%
152146.0,Andhra Pradesh,ARAKU(ST),normal/others,1394400.0,2025-01-20,583,18.375624098124103,564.6243759018759,3172.6813570349223
156137.0,Andhra Pradesh,ARAKU(ST),normal/others,1394400.0,2025-01-20,583,18.375624098124103,564.6243759018759,3172.6813570349223
152147.0,Andhra Pradesh,ARAKU(ST),normal/others,1394400.0,2025-01-20,583,18.375624098124103,564.6243759018759,3172.6813570349223
143407.0,Jharkhand,GIRIDIH,normal/others,44000.0,2024-10-04,691,126.47947689225818,564.5205231077418,546.3336953778121
141474.0,Jharkhand,GIRIDIH,normal/others,242000.0,2024-10-05,690,126.055,563.9449999999999,547.3801118559359
140593.0,Jharkhand,GIRIDIH,normal/others,242000.0,2024-10-05,690,126.055,563.9449999999999,547.3801118559359
138585.0,West Bengal,DIAMOND HARBOUR,normal/others,199986.0,2024-12-09,625,62.62333333333332,562.3766666666667,998.0305530419975
136755.0,Jharkhand,KHUNTI(ST),normal/others,400000.0,2024-09-30,695,133.43341729758683,561.5665827024131,520.8590277276585
136922.0,Jharkhand,KHUNTI(ST),normal/others,400000.0,2024-09-30,695,133.43341729758683,561.5665827024131,520.8590277276585
136754.0,Jharkhand,KHUNTI(ST),normal/others,400000.0,2024-09-30,695,133.43341729758683,561.5665827024131,520.8590277276585
136747.0,Jharkhand,KHUNTI(ST),normal/others,400000.0,2024-09-30,695,133.43341729758683,561.5665827024131,520.8590277276585
136925.0,Jharkhand,KHUNTI(ST),normal/others,400000.0,2024-09-30,695,133.43341729758683,561.5665827024131,520.8590277276585
136929.0,Jharkhand,KHUNTI(ST),normal/others,400000.0,2024-09-30,695,133.43341729758683,561.5665827024131,520.8590277276585
136931.0,Jharkhand,KHUNTI(ST),normal/others,400000.0,2024-09-30,695,133.43341729758683,561.5665827024131,520.8590277276585
144865.0,Jharkhand,GIRIDIH,normal/others,242000.0,2024-10-09,686,126.055,559.9449999999999,544.2068938161914
144870.0,Jharkhand,GIRIDIH,normal/others,242000.0,2024-10-09,686,126.055,559.9449999999999,544.2068938161914
144859.0,Jharkhand,GIRIDIH,normal/others,242000.0,2024-10-09,686,126.055,559.9449999999999,544.2068938161914
144858.0,Jharkhand,GIRIDIH,normal/others,242000.0,2024-10-09,686,126.055,559.9449999999999,544.2068938161914
143652.0,Maharashtra,PARBHANI,normal/others,799000.0,2024-10-08,687,128.05509523809522,558.9449047619048,536.4878287136081
143650.0,Maharashtra,PARBHANI,normal/others,799000.0,2024-10-08,687,128.05509523809522,558.9449047619048,536.4878287136081
143647.0,Maharashtra,PARBHANI,normal/others,799000.0,2024-10-08,687,128.05509523809522,558.9449047619048,536.4878287136081
143646.0,Maharashtra,PARBHANI,normal/others,799000.0,2024-10-08,687,128.05509523809522,558.9449047619048,536.4878287136081
140583.0,Jharkhand,GIRIDIH,normal/others,154000.0,2024-10-05,690,134.25729761904765,555.7427023809523,513.9385435552717
144857.0,Jharkhand,GIRIDIH,normal/others,154000.0,2024-10-09,686,134.25729761904765,551.7427023809523,510.959189679589
143388.0,Jharkhand,GIRIDIH,normal/others,198000.0,2024-10-04,691,141.32244579078014,549.6775542092198,488.9527605706642
140580.0,Jharkhand,GIRIDIH,normal/others,198000.0,2024-10-05,690,141.32244579078014,548.6775542092198,488.24515889111194
140439.0,Andhra Pradesh,KADAPA,normal/others,400000.0,2024-11-18,646,97.84056874655862,548.1594312534414,660.2578135797295
137034.0,Jharkhand,KHUNTI(ST),normal/others,400000.0,2024-10-14,681,133.43341729758683,547.5665827024131,510.36690342810846
140288.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140285.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140286.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140592.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140597.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140260.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140259.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140268.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140261.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140267.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140264.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140275.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140266.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140265.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140276.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140277.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140278.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140279.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140280.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140281.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140282.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140283.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140284.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140262.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140263.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
140287.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-05,690,143.72464814814813,546.2753518518518,480.0846680722179
141472.0,Jharkhand,GIRIDIH,normal/others,286000.0,2024-10-05,690,144.53545250207029,545.4645474979297,477.39152440133444
143356.0,Jharkhand,GIRIDIH,normal/others,286000.0,2024-10-05,690,144.53545250207029,545.4645474979297,477.39152440133444
140554.0,Jharkhand,GIRIDIH,normal/others,286000.0,2024-10-05,690,144.53545250207029,545.4645474979297,477.39152440133444
141683.0,West Bengal,TAMLUK,normal/others,220000.0,2024-12-09,625,79.75,545.25,783.6990595611285
144867.0,Jharkhand,GIRIDIH,normal/others,198000.0,2024-10-09,686,141.32244579078014,544.6775542092198,485.4147521729026
139908.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139893.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139901.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139902.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139903.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139904.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139905.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139906.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139907.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139911.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139909.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
139926.0,Jharkhand,GIRIDIH,normal/others,22000.0,2024-10-07,688,143.72464814814813,544.2753518518518,478.6931183096897
