Project_ID,Constituency,State,Work category,Work description,RECOMMENDED AMOUNT   ( ₹ ),Category_Mean_Cost,Category_Median_Cost,Anomaly_Score
283030.0,RAE BARELI,Uttar Pradesh,normal/others,installation of one hundred fifty (sl. no. 1 to 150) solar lights as per the enclosed list,3224550.0,521220.07,300000.0,-0.0167
160915.0,BIRBHUM,West Bengal,normal/others,"construction of p.c.c road , executive agency - e.o zella parishad",3215000.0,521220.07,300000.0,-0.0167
189875.0,AMETHI,Uttar Pradesh,normal/others,"installation of 143(one hundred forty three) solar street lights, as per the list attached",3212352.0,521220.07,300000.0,-0.0157
197962.0,FIROZABAD,Uttar Pradesh,normal/others,in madhoganj bateshwar  road to vijay veer house cc and drainage  325 meters,3199000.0,521220.07,300000.0,-0.0152
248436.0,BASTI,Uttar Pradesh,normal/others,"construction of cc road from gopiyapar crossing on kaptanganj city road to tulsiram house to satiram house, distance approximately 330 meters, development block- kaptanganj.",3204000.0,521220.07,300000.0,-0.0152
282914.0,UDHAMPUR,Jammu And Kashmir,normal/others,"construction of community hall by way of columns and laying of rcc slab at guru ashram sukrala, panchayat billawer, district kathua",3200000.0,521220.07,300000.0,-0.0152
146441.0,SIKKIM,Sikkim,normal/others,construction of protective wall for village footpath near the house of mr.p.t bhutia at middle luing,3200000.0,521220.07,300000.0,-0.0152
242977.0,AMALAPURAM(SC),Andhra Pradesh,normal/others,construction of cc road from bokka rambabu shop to existing cc road at agraharam in 8th ward,3200000.0,521220.07,300000.0,-0.0152
286312.0,ALWAR,Rajasthan,normal/others,"work to relocate the 33 kv power line passing over houses specifically those of shri bhagwan halwai (located on khushkhera-asamiyat road), as well as residences in nai colony, harijan colony, and pradhan colony extending from the bus stand and desi dhani-gandhi chowk to the houses of b. hit ambram within the jurisdiction of the tapukara municipality",3200000.0,521220.07,300000.0,-0.0152
149399.0,ELURU,Andhra Pradesh,normal/others,"construction of resting barracks with attached wash rooms for men in the district police office, eluru",3204000.0,521220.07,300000.0,-0.0152
230981.0,MUMBAI NORTH,Maharashtra,normal/others,"construction of a multipurpose sports turf in the open space gorai 3, borivali west,",3200000.0,521220.07,300000.0,-0.0152
263520.0,ELURU,Andhra Pradesh,normal/others,construction of multipurpose hall at ramudikunta cheruvu,3200000.0,521220.07,300000.0,-0.0152
257159.0,UNNAO,Uttar Pradesh,normal/others,interlocking work in the populated area from the main road of rawatpur lalaman kheda in vikas khand bighapur.,3200000.0,521220.07,300000.0,-0.0152
204868.0,VIZIANAGARAM,Andhra Pradesh,normal/others,"providing 20 passengers,1320 kgs lift in mch(gosha)hospital, vizianagaram",3200000.0,521220.07,300000.0,-0.0152
165477.0,GUNA,Madhya Pradesh,normal/others,purchase of ambulance,3200000.0,521220.07,300000.0,-0.0152
149400.0,ELURU,Andhra Pradesh,normal/others,"construction of resting barracks with attached wash rooms for women in the district police office, eluru",3204000.0,521220.07,300000.0,-0.0152
160266.0,GUNA,Madhya Pradesh,normal/others,ambulance for medical college shivpuri,3184764.0,521220.07,300000.0,-0.0142
200659.0,GHAZIPUR,Uttar Pradesh,normal/others,installation of high mask lights at 1 dilawal patti 2 akhtiyarpur 3 nakhatpur 4 kodri 6 bahlolpur 7 bijaura 8 chaura boj bazar 9 mednipur 10 bahadurpur 11 vishnupur piprahi 12 jargo 13 saathipur dullahpur 14 sonwal 15 badhai khurd 16 peelkuwa subhakharpur 17 afzalpur 18 ballipur gopalpur 19 bara,3193200.0,521220.07,300000.0,-0.0142
209004.0,JALPAIGURI(SC),West Bengal,normal/others,"construction of paver block road with guard wall from lt. mohadev pal house to naru saha house via ajay dey house to subodh basak house, vivekananda para, ward no 24, jalpaiguri municipality",3173020.0,521220.07,300000.0,-0.0131
225313.0,KANNAUJ,Uttar Pradesh,normal/others,please get the cc drain constructed on about 250 meter road from the house of shri pradeep katiyar to the house of shri sandeep yadav in mohalla patel nagar saraimir district kannauj uttar pradesh,3170000.0,521220.07,300000.0,-0.0131
172806.0,THRISSUR,Kerala,repair and renovation,"infrastructure facility for modern laboratory at the general hospital, thrissur.",3300001.0,597548.51,464802.0,-0.0115
255100.0,KANNAUJ,Uttar Pradesh,normal/others,please refer to my office letter number 412025 dated 19-05-2025 in which the project director district rural development agency kannauj vide letter number 329accountsdevelopmentestimate 2025 26 dated 17062025 provided an estimate of rupees thirty one lakh fiftynine thousand only for the construction of a concrete drain from shri sher bahadurs house to shri adityas field in arifpur village saurikh development block kannauj district uttar pradesh a sum of rupees thirty one lakh fifty-nine thousand,3159000.0,521220.07,300000.0,-0.0111
262749.0,KANTHI,West Bengal,normal/others,installation of solar high mast total 11 nos,3159462.0,521220.07,300000.0,-0.0111
195296.0,ALIPURDUARS(ST),West Bengal,normal/others,construction of paver block road and both side pcc drain near the house of swaraj ghising to manne pradhan house birpara i gp within madarihat birpara block district alipurduar,3159049.0,521220.07,300000.0,-0.0111
226476.0,AGRA(SC),Uttar Pradesh,normal/others,cc work from rajendra prasad baghe house to baghel ashram in mukhwar majara tiket  bock etmadpur,3159521.0,521220.07,300000.0,-0.0111
260605.0,DHAURAHRA,Uttar Pradesh,normal/others,indution work of semi high mast  6th way light 20 numbers in  various places according to the attached list in legislative assembly mohammdi.,3155800.0,521220.07,300000.0,-0.0106
163441.0,JHARGRAM(ST),West Bengal,normal/others,installation of 11 (eleven) nos. of solar mini high mast light (single pole 4 nos arm light) at different place of ragra gram panchayat under sankrail panchayat samity within jhargram district.,3156302.0,521220.07,300000.0,-0.0106
171398.0,CUDDALORE,Tamil Nadu,normal/others,providing led street lights - supply and erection of double arm pole - 7mtr height-  chennai to kumbakkonam main road at ward no. 20 in  panruti municipality,3136643.0,521220.07,300000.0,-0.0101
269816.0,ALWAR,Rajasthan,normal/others,purchase of a mobile library vehicle with training equipment and furniture in alwar lok sabha constituency,3150000.0,521220.07,300000.0,-0.0101
163368.0,JHARGRAM(ST),West Bengal,normal/others,installation of 92 (ninety two) nos. single arm solar light at different place of kharikamathani gram panchayat under nayagram panchayat samity within jhargram district.,3127353.0,521220.07,300000.0,-0.0101
163359.0,BANKURA,West Bengal,normal/others,"supply of 7 (seven) nos. of (1300 ltr.) stainless steel water tank with trailer at different gram panchayat namely haludkanali, rajakata, rudra, barikul, rautora gp and ranibandh panchayat samity of ranibandh block and ranibandh panchayat samity under ranibandh block.",3150000.0,521220.07,300000.0,-0.0101
174383.0,KALLAKURICHI,Tamil Nadu,normal/others,procurement and supply of bench and desk to manalurpet govt boys higher sec school (150 set),3132900.0,521220.07,300000.0,-0.0101
189488.0,KOLKATA DAKSHIN,West Bengal,normal/others,"construction of shed at sahapur maitri sangha club basket ball ground at 39, j.k. pal road, kol - 700038 in k.m.c. ward 118.",3122000.0,521220.07,300000.0,-0.0101
249952.0,REWA,Madhya Pradesh,normal/others,solar street lights,3137644.0,521220.07,300000.0,-0.0101
249955.0,REWA,Madhya Pradesh,normal/others,solar street lights,3137644.0,521220.07,300000.0,-0.0101
151191.0,REWA,Madhya Pradesh,normal/others,solar street lights,3140358.0,521220.07,300000.0,-0.0101
136857.0,FIROZABAD,Uttar Pradesh,normal/others,developement of interlocking and drainage system from kishanpal house to jagdish yadav plot length 400 meter by 4 meter,3148552.0,521220.07,300000.0,-0.0101
155352.0,KOLKATA DAKSHIN,West Bengal,normal/others,renovation of pathway including shore protection of natun pally pond at r.b. road bye lane in k.m.c. ward 118 under br-xiii.,3120000.0,521220.07,300000.0,-0.0086
156124.0,TEHRI GARHWAL,Uttarakhand,normal/others,letter as per attached.,3120000.0,521220.07,300000.0,-0.0086
201326.0,BANKURA,West Bengal,normal/others,"construction of two storeyed community hall at ailakundi under anchuri gram panchayat, bankura 1 no block, district bankura, mouza  ailakundi, plot no 321, jl no  217",3100000.0,521220.07,300000.0,-0.0075
138639.0,HOOGHLY,West Bengal,normal/others,seating arregment at the premises of dhanikhali state general hospital,3093826.0,521220.07,300000.0,-0.0075
241596.0,AGRA(SC),Uttar Pradesh,normal/others,cc work from in nagla swaroop from umv to shivdayal house badi tanki ki aur sno 14 in letter no letter no d.o.nomosfahdagra20252028 dated 18-6-2025 attached,3096000.0,521220.07,300000.0,-0.0075
274864.0,JAHANABAD,Bihar,normal/others,purchase and supply 5 book shelves each (as per the specifications enclosed with this letter) under furniture in the mentioned 15 different schools in jehanabad district,3112500.0,521220.07,300000.0,-0.0075
228919.0,NORTH GOA,Goa,normal/others,development of open sapce and children park ella crast colony vp se old goa,3109122.0,521220.07,300000.0,-0.0075
256237.0,PHULPUR,Uttar Pradesh,normal/others,sanlaganak ke anusar 04 interloking work,3101000.0,521220.07,300000.0,-0.0075
190282.0,AKBARPUR,Uttar Pradesh,normal/others,vidhan sabha kalyanpur ke antargat ward -44 khyora ke antargat makdikheda me deepak pandey ji ke makan se sonu kumar ke makan se vikrant singh makan se rajneesh pandey ke makan tak interlocking road v nali ka nirman karya. length 215m,3080958.0,521220.07,300000.0,-0.0075
142751.0,TENKASI(SC),Tamil Nadu,normal/others,conversion of earthern to black top road at mangammal salai in tenkasi municipality,3100000.0,521220.07,300000.0,-0.0075
190721.0,MAYURBHANJ (ST),Odisha,normal/others,installation of outdoor led display board size 7.5ft12.5ft executive agency itda (baripada),3100000.0,521220.07,300000.0,-0.0075
