"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"18540","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/161815","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","17-Dec-2025","INDRA","Payment Success","7425"
"18541","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/161815","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","17-Dec-2025","CHOTHMAL","Payment Success","18375"
"18542","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/161815","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","17-Dec-2025","VISHAL BAIRWA","Payment Success","18375"
"18543","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/161815","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","17-Dec-2025","SATYANARAYAN","Payment Success","7425"
"18544","Rajasthan","Improvement of electricity distribution infrastructure","WS/MP18167/2024-2025/146924","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","18-Dec-2025","Ajmer Vidyut Vitaran Nigam Ltd Ajmer","Payment Success","159048"
"18545","Rajasthan","Improvement of electricity distribution infrastructure","WS/MP18167/2025-2026/262152","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","27-Mar-2026","Ajmer Vidyut Vitaran Nigam Ltd Ajmer","Payment Success","137964"
"18546","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/161815","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","17-Dec-2025","SINTU","Payment Success","7425"
"18547","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/165572","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","23-Jan-2026","Drug","Payment Success","100000"
"18548","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18176/2024-2025/140272","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","23-Dec-2025","P RAMADASS","Payment Success","998047"
"18549","Jammu And Kashmir","Providing drains and gutters for public drainage","WS/MP18379/2025-2026/250922","BANDIPORA(Deputy Commissioner Bandipora_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","27-Mar-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","72053"
"18550","Jammu And Kashmir","Construction of footpaths and pedestrian ways","WS/MP18379/2025-2026/250920","BANDIPORA(Deputy Commissioner Bandipora_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","01-Aug-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","203684"
"18551","Jammu And Kashmir","Construction of footpaths and pedestrian ways","WS/MP18379/2025-2026/250921","BANDIPORA(Deputy Commissioner Bandipora_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","27-Mar-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","192392"
"18552","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18379/2025-2026/250929","BANDIPORA(Deputy Commissioner Bandipora_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","27-Mar-2026","BLOCK DEVELOPMENT OFFICER","Payment Success","127500"
"18553","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18082/2025-2026/208157","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","20-Dec-2025","K M HARISH KUMAR","Payment Success","499069"
"18554","Karnataka","Construction of bus-sheds or bus-stops","WS/MP18082/2025-2026/208155","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","22-Jun-2026","K M HARISH KUMAR","Payment Success","498159"
"18555","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18082/2025-2026/230739","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","27-Apr-2026","K M HARISH KUMAR","Payment Success","499407"
"18556","Jammu And Kashmir","Construction of boundary walls of existing public and community buildings","WS/MP18379/2025-2026/250923","BANDIPORA(Deputy Commissioner Bandipora_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","10-Feb-2026","RGSY BLOCK DFVELOPMENT OFFICER ALOOSA","Payment Success","112500"
"18557","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18379/2025-2026/221563","BANDIPORA(Deputy Commissioner Bandipora_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","10-Feb-2026","RGSY BLOCK DFVELOPMENT OFFICER ALOOSA","Payment Success","254819"
"18558","Jammu And Kashmir","Construction of boundary walls of existing public and community buildings","WS/MP18379/2025-2026/251360","BANDIPORA(Deputy Commissioner Bandipora_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","27-Mar-2026","RGSY BLOCK DFVELOPMENT OFFICER ALOOSA","Payment Success","75000"
"18559","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18082/2025-2026/197038","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","29-Dec-2025","M S RAVI","Payment Success","375000"
"18560","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18176/2025-2026/198956","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","30-Mar-2026","SELVI M","Payment Success","757982"
"18561","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18176/2025-2026/198956","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","23-Dec-2025","SELVI M","Payment Success","931590"
"18562","Tamil Nadu","Installing tube-wells and borewells","WS/MP18180/2025-2026/231212","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","ARUN NEHRU","PERAMBALUR","18-Dec-2025","MSS INFRA","Payment Success","599946"
"18563","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18312/2026-2027/211720","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","07-Aug-2026","MS APT CONSTRUCTIONS","Payment Success","1573823"
"18564","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/248504","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","16-Dec-2025","Sojendro D Sangma","Payment Success","125000"
"18565","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/248504","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","20-Feb-2026","Sojendro D Sangma","Payment Success","125000"
"18566","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP578/2025-2026/174328","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","29-Dec-2025","MAL GRAM PANCHAYAT","Payment Success","196530"
"18567","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/214269","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","11-Mar-2026","MAL GRAM PANCHAYAT","Payment Success","198951"
"18568","West Bengal","Installing community drinking water plants","WS/MP499/2025-2026/198323","BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA)","Smt Satabdi Roy (Banerjee)","BIRBHUM","29-Dec-2025","MD SAMIRUDDIN SEKH","Payment Success","249708"
"18569","Assam","Construction of buildings for community cultural activities","WS/MP538/2025-2026/223941","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","16-Jan-2026","BIDISHA STORE","Payment Success","180000"
"18570","Assam","Construction of buildings for community cultural activities","WS/MP538/2025-2026/223937","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","02-Jan-2026","BIDISHA STORE","Payment Success","300000"
"18571","Assam","Construction of boundary walls of existing public and community buildings","WS/MP538/2025-2026/223981","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","02-Jan-2026","BIDISHA STORE","Payment Success","300000"
"18572","Assam","Construction of boundary walls of existing public and community buildings","WS/MP538/2025-2026/225158","UDALGURI(DEPUTY COMMISSIONER Udalguri_IDA)","Dilip Saikia","Darrang-Udalguri","02-Jan-2026","BIDISHA STORE","Payment Success","300000"
"18573","Meghalaya","Development of playfields and sports grounds","WS/MP18309/2025-2026/228188","SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA)","SALENG A SANGMA","TURA","14-Dec-2025","Jolnesh M Sangma","Payment Success","250000"
"18574","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2025-2026/228191","SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA)","SALENG A SANGMA","TURA","14-Dec-2025","Robetio R Marak","Payment Success","250000"
"18575","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18159/2025-2026/206307","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV","ALWAR","11-Dec-2025","RAVI KUMAR JANGID","Payment Success","1650"
"18576","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18159/2025-2026/206307","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","BHUPENDER YADAV","ALWAR","11-Dec-2025","AK TRADERS AND COMPANY","Payment Success","972926"
"18577","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2025-2026/240245","JAMNAGAR(DISTRICT COLLECTOR JAMNAGAR_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","18-Jun-2026","NAVA NAGNA GRAM PANCHAYAT","Payment Success","499361"
"18578","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2025-2026/240246","JAMNAGAR(DISTRICT COLLECTOR JAMNAGAR_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","18-Jun-2026","NAVA NAGNA GRAM PANCHAYAT","Payment Success","499361"
"18579","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18014/2025-2026/240980","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","11-Mar-2026","Chittiboina Padmavathi","Payment Success","487745"
"18580","Andhra Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP18014/2025-2026/240985","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","PRABHAKAR REDDY VEMIREDDY","NELLORE(SC)","11-Mar-2026","Chittiboina Padmavathi","Payment Success","489550"
"18581","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18023/2025-2026/211076","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","BIJULI KALITA MEDHI","GUWAHATI","16-Dec-2025","CC For Construction of Boundary wall at Vidya Bharati Multipurpose Education Project at Hajongbari","Payment Success","1200000"
"18582","Gujarat","Lighting of public spaces","WS/MP18344/2025-2026/177505","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","11-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","258861"
"18583","Gujarat","Lighting of public spaces","WS/MP18344/2025-2026/177504","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","259124"
"18584","Gujarat","Lighting of public spaces","WS/MP18344/2025-2026/177498","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","260193"
"18585","Gujarat","Lighting of public spaces","WS/MP18344/2025-2026/177506","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","259429"
"18586","Gujarat","Street lights","WS/MP18344/2025-2026/177515","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","28396"
"18587","Gujarat","Street lights","WS/MP18344/2025-2026/177514","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","20512"
"18588","Gujarat","Construction of culverts and bridges","WS/MP18344/2025-2026/177512","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","800000"
"18589","Gujarat","Street lights","WS/MP18344/2025-2026/177513","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","117424"
"18590","Gujarat","Street lights","WS/MP18344/2025-2026/177516","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","22858"
"18591","Gujarat","Street lights","WS/MP18344/2025-2026/177517","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","21021"
"18592","Gujarat","Street lights","WS/MP18344/2025-2026/177518","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","155009"
"18593","Gujarat","Street lights","WS/MP18344/2025-2026/177519","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","28918"
"18594","Gujarat","Street lights","WS/MP18344/2025-2026/177526","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","10-Mar-2026","KAUSHAL DEVIDAS HARPALANI","Payment Success","33968"
"18595","Uttar Pradesh","Construction of community centers and community halls","WS/MP18222/2025-2026/214379","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","25-Jul-2026","NarSingh Maurya","Payment Success","282185"
"18596","Uttar Pradesh","Construction of community centers and community halls","WS/MP18222/2025-2026/214379","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","12-Dec-2025","NarSingh Maurya","Payment Success","717815"
"18597","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP600/2024-2025/148196","UDHAMPUR(Deputy Commissioner Udhampur_IDA)","Jitendra Singh","UDHAMPUR","12-Dec-2025","Rakesh Kumar","Payment Success","131000"
"18598","Uttar Pradesh","Providing CCTV camera system for security of public areas","WS/MP18228/2025-2026/257083","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","PRIYA SAROJ","MACHHLISHAHR(SC)","02-Feb-2026","Shri Dwarika Computers","Payment Success","997000"
"18599","Uttar Pradesh","Providing CCTV camera system for security of public areas","WS/MP18222/2025-2026/253154","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","02-Feb-2026","Shri Dwarika Computers","Payment Success","493854"
"18600","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/208390","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","15-Dec-2025","VENKTESH PAMMAR","Payment Success","375000"
"18601","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/208390","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","17-Feb-2026","VENKTESH PAMMAR","Payment Success","122962"
"18602","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18076/2025-2026/220472","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","09-Jan-2026","RANGASWAMY","Payment Success","117310"
"18603","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18076/2025-2026/220472","Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","12-Dec-2025","RANGASWAMY","Payment Success","367500"
"18604","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP638/2024-2025/152489","Niwari(District Collector Niwari_IDA)","Virendra Kumar","TIKAMGARH(SC)","03-Apr-2026","ABHAY PRATAP VAIDYA CONTRCTOR","Payment Success","499279"
"18605","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204343","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","30-Dec-2025","Kundan Singh","Payment Success","16960"
"18606","Uttarakhand","Security gates in streets/public place for safety purpose","WS/MP021/2025-2026/204343","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","30-Dec-2025","Lakshmi","Payment Success","16555"
"18607","Assam","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18020/2025-2026/205155","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","16-Dec-2025","MAA ENTERPRISE","Payment Success","480000"
"18608","Assam","Construction of community centers and community halls","WS/MP18020/2025-2026/205154","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","16-Dec-2025","MAA ENTERPRISE","Payment Success","480000"
"18609","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18160/2025-2026/239549","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","03-Feb-2026","MS HARIOM CONSTRUCTION COMPANY","Payment Success","249896"
"18610","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP18160/2025-2026/239549","BARMER(DISTRICT COLLECTOR BARMER_IDA)","UMMEDA RAM BENIWAL","BARMER","29-Dec-2025","MS HARIOM CONSTRUCTION COMPANY","Payment Success","350000"
"18611","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP529/2025-2026/215873","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","18-Dec-2025","RAGHUPATHI GUNDUBOINA","Payment Success","295753"
"18612","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/193500","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Rahul Kaswan","CHURU","18-Dec-2025","Maniram Hukmaram","Payment Success","11700"
"18613","Meghalaya","Providing supply pipelines for drinking water","WS/MP18137/2025-2026/158692","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","16-Dec-2025","Rangbah Shnong Upper Lumparing","Payment Success","500000"
"18614","Rajasthan","Lighting of public spaces","WS/MP720/2025-2026/180072","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","Chandra Prakash Joshi","CHITTORGARH","15-Dec-2025","DEV ENTERPRIESE","Payment Success","147140"
"18615","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP18320/2025-2026/215377","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","GENIBEN NAGAJI THAKOR","BANASKANTHA","19-Dec-2025","DELWADA GRAM PANCHAYAT","Payment Success","300000"
"18616","Gujarat","Construction of community centers and community halls","WS/MP18056/2025-2026/168535","RAJKOT(DISTRICT COLLECTOR RAJKOT_IDA)","PARSHOTTAMBHAI RUPALA","RAJKOT","12-Dec-2025","nonghanchora gram pacnhayat","Payment Success","488253"
"18617","Odisha","Construction of public libraries and reading rooms","WS/MP300/2024-2025/157078","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","18-Dec-2025","Bhagirathi Champati","Payment Success","228438"
"18618","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/164297","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","GURU NANAK CEMENT STORE","Payment Success","42000"
"18619","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2024-2025/164297","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","05-Jan-2026","GURU NANAK CEMENT STORE","Payment Success","42000"
"18620","Haryana","Purchase of mobile water tankers","WS/MP18062/2025-2026/195875","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","19-Feb-2026","SHREE GANESH TRADING","Payment Success","148700"
"18621","Haryana","Purchase of mobile water tankers","WS/MP18062/2024-2025/154020","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","11-Mar-2026","SHREE GANESH TRADING","Payment Success","148700"
"18622","Haryana","Purchase of mobile water tankers","WS/MP18062/2025-2026/195823","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","13-May-2026","SHREE GANESH TRADING","Payment Success","149900"
"18623","Haryana","Purchase of mobile water tankers","WS/MP18062/2025-2026/195822","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","13-May-2026","SHREE GANESH TRADING","Payment Success","149900"
"18624","Haryana","Purchase of mobile water tankers","WS/MP18062/2025-2026/195824","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","13-May-2026","SHREE GANESH TRADING","Payment Success","148700"
"18625","Haryana","Purchase of mobile water tankers","WS/MP18062/2025-2026/195877","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","09-Mar-2026","SHREE GANESH TRADING","Payment Success","148700"
"18626","Haryana","Purchase of mobile water tankers","WS/MP18062/2025-2026/195876","HISAR(DEPUTY COMMISSIONER HISSAR_IDA)","JAI PARKASH","HISAR","20-Feb-2026","SHREE GANESH TRADING","Payment Success","148700"
"18627","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2025-2026/180255","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","22-Dec-2025","KRISHNA PRASAD SHETTY BK","Payment Success","485706"
"18628","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/239797","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","21-Jul-2026","EXECUTIVE OFFICER MUNICIPAL COUNCIL NURPUR DISTT KANGRA HP 176202","Payment Success","194277"
"18629","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/239791","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","23-May-2026","EXECUTIVE OFFICER MUNICIPAL COUNCIL NURPUR DISTT KANGRA HP 176202","Payment Success","300000"
"18630","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/165533","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","21-Apr-2026","EXECUTIVE OFFICER MUNICIPAL COUNCIL NURPUR DISTT KANGRA HP 176202","Payment Success","230342"
"18631","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/165533","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","18-Feb-2026","EXECUTIVE OFFICER MUNICIPAL COUNCIL NURPUR DISTT KANGRA HP 176202","Payment Success","665959"
"18632","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/217450","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","25-Mar-2026","EXECUTIVE OFFICER MUNICIPAL COUNCIL NURPUR DISTT KANGRA HP 176202","Payment Success","100000"
"18633","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/234707","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","13-Feb-2026","GIRIJA SANKAR PATI AE","Payment Success","250000"
"18634","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/234699","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Feb-2026","GIRIJA SANKAR PATI AE","Payment Success","250000"
"18635","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/234698","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Feb-2026","GIRIJA SANKAR PATI AE","Payment Success","250000"
"18636","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/234689","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","25-Feb-2026","GIRIJA SANKAR PATI AE","Payment Success","250000"
"18637","Odisha","Construction of public irrigation facilities","WS/MP453/2025-2026/234690","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","13-Jan-2026","GIRIJA SANKAR PATI AE","Payment Success","200000"
"18638","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/234691","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","13-Jan-2026","GIRIJA SANKAR PATI AE","Payment Success","200000"
"18639","Odisha","Construction of culverts and bridges","WS/MP453/2025-2026/234693","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","13-Jan-2026","GIRIJA SANKAR PATI AE","Payment Success","400000"
"18640","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP453/2025-2026/234708","KORAPUT(District Collector Koraput_IDA)","Saptagiri Sankar Ulaka","KORAPUT(ST)","13-Jan-2026","GIRIJA SANKAR PATI AE","Payment Success","250000"
