Project_ID,Work description,Work category,Hon'ble Members of Parliament,Constituency,State,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,Sanction Amount ( ₹ ),Work Status,Fund Disbursed Amount ( ₹ ),Payment Status,Completion Date,Amount Disbursed ( ₹ ),riskScore,riskLevel
161368.0,laying of bt road in tellapur municipality,normal/others,MADHAVANENI RAGHUNANDAN RAO,MEDAK,Telangana,2024-12-24,2500000.0,2025-03-21,2500000.0,Physical Inspection,2451095.0,Payment Success,,,25,LOW
161369.0,construction of hume pipe culvert for mohalla som dutt jagti pyt. jagti block nagrota,normal/others,Shri Jugal Kishore Sharma,JAMMU,Jammu And Kashmir,2024-12-25,300000.0,2025-03-10,300000.0,Sanction,,,,,25,LOW
161370.0,financial assistance for construction of classroom in tirot sing memorial college,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,500000.0,2025-05-28,500000.0,Work partially Completed,250000.0,Payment Success,,,25,LOW
161371.0,financial assistance for construction of heritage/patriotic home by dorbar shnong nongrmai,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,300000.0,2025-06-27,300000.0,Work partially Completed,150000.0,Payment Success,,,25,LOW
161373.0,financial assistance for school auditorium of st. thomas higher secondary school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,700000.0,2025-05-28,700000.0,Work partially Completed,350000.0,Payment Success,,,25,LOW
161375.0,financial assistance for the construction of training centre of blossom cluster level federation,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,500000.0,2025-05-28,500000.0,Work partially Completed,250000.0,Payment Success,,,25,LOW
161376.0,financial assistance for construction of classroom for  langstiehrim presbyterian secondary school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2025-05-28,200000.0,Work partially Completed,100000.0,Payment Success,,,25,LOW
161377.0,financial assistance for construction of classroom for  kharthangmaw lower primary school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2025-09-10,200000.0,Work partially Completed,100000.0,Payment Success,,,25,LOW
161378.0,financial assiatance for repair of classroom for mawiong khri lower primary school.,repair and renovation,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2026-02-22,200000.0,Work partially Completed,100000.0,Payment Success,,,5,LOW
161379.0,financial assistance for construction additional classroom of mawkohphet presbyterian school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,300000.0,2025-03-28,300000.0,Physical Inspection,300000.0,Payment Success,2025-08-25,300000,5,LOW
161380.0,financial assistance for repair of  classroom of jashiar r c l p &  u school,repair and renovation,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,300000.0,2025-03-28,300000.0,Physical Inspection,300000.0,Payment Success,2026-02-18,300000,5,LOW
161381.0,financial assistance for setting up of computer lab for phlangdiloin secondary school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,300000.0,2025-03-28,300000.0,Physical Inspection,300000.0,Payment Success,2025-12-09,300000,5,LOW
161382.0,financial assistance for construction of classroom for wahkaji secondary school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2025-03-28,200000.0,Physical Inspection,200000.0,Payment Success,2025-12-09,200000,5,LOW
161383.0,financial assistance for construction of classroom for philangdiloin day l p school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2025-03-28,200000.0,Physical Inspection,200000.0,Payment Success,2025-08-27,200000,5,LOW
161384.0,paver block work at rampara village in from jivabhai vashrambhai thakor's house to kanabhai bijalbhai thakor's house,normal/others,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,Gujarat,2024-12-24,499359.0,2025-02-24,499359.0,Physical Inspection,499359.0,Payment Success,2025-07-16,499359,5,LOW
161385.0,paver block work at rampara village. from ramjibhai chanabhai thakor's house to mansukhbhai bhikhabhai thakor's house,normal/others,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,Gujarat,2024-12-24,499550.0,2025-02-24,499550.0,Physical Inspection,499550.0,Payment Success,2025-07-16,499550,5,LOW
161386.0,paver block work at rampara village from narshibhai jagmalbhai thakor's house towards rameshbhai bhikhabhai's house,normal/others,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,Gujarat,2024-12-24,499544.0,2025-02-24,499544.0,Physical Inspection,499544.0,Payment Success,2025-07-16,499544,5,LOW
161387.0,financial assistance for construction of classroom for rembyrngaw presbyterian .l.p school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2025-03-28,200000.0,Physical Inspection,200000.0,Payment Success,2025-08-08,200000,5,LOW
161388.0,financial assistance for construction of classroom for pyndenwar lower primary school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2025-03-28,200000.0,Physical Inspection,200000.0,Payment Success,2026-01-13,200000,5,LOW
161389.0,financial assistance for construction of classroom for mawkohlar presbyterian l p school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2025-03-28,200000.0,Physical Inspection,200000.0,Payment Success,2026-07-13,200000,5,LOW
161390.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,492899.0,2025-01-14,492899.0,Physical Inspection,492899.0,Payment Success,2025-08-13,492899,45,MODERATE
161391.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,998442.0,2025-01-14,998442.0,Physical Inspection,998442.0,Payment Success,2025-11-14,998442,45,MODERATE
161392.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,500000.0,2025-01-14,500000.0,Physical Inspection,500000.0,Payment Success,2025-09-11,500000,45,MODERATE
161393.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,500000.0,2025-01-14,500000.0,Physical Inspection,500000.0,Payment Success,2025-08-13,500000,45,MODERATE
161394.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,1000000.0,2025-01-14,1000000.0,Physical Inspection,1000000.0,Payment Success,2025-11-18,1000000,45,MODERATE
161395.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,500000.0,2025-01-14,500000.0,Physical Inspection,500000.0,Payment Success,2025-09-11,500000,45,MODERATE
161396.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,500000.0,2025-03-28,500000.0,Vendor Identification,400000.0,Payment Success,,,65,MODERATE
161397.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,499496.0,2025-01-14,499496.0,Physical Inspection,499496.0,Payment Success,2025-08-08,499496,45,MODERATE
161399.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,520000.0,2025-01-10,520000.0,Vendor Identification,489483.0,Payment Success,,,65,MODERATE
161400.0,shedh nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,500000.0,2025-01-10,500000.0,Vendor Identification,400000.0,Payment Success,,,65,MODERATE
161401.0,cc road nirman,normal/others,Vijay Baghel,DURG,Chhattisgarh,2024-12-24,500000.0,2025-01-10,500000.0,Vendor Identification,200000.0,Payment Success,,,65,MODERATE
161402.0,financial assistance for construction of classrooms for barato presbyetrian school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,500000.0,2025-05-13,500000.0,Work Completed,500000.0,Payment Success,2025-11-25,500000,5,LOW
161403.0,financial assistance for construction for community market building under dorbar iawmuksow mowkaiaw,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,700000.0,2025-07-23,700000.0,Physical Inspection,700000.0,Payment Success,2025-11-05,700000,5,LOW
161404.0,construction of community hall in sno.182 b.yaleru village atmakuru (m),normal/others,B K PARTHASARATHI,HINDUPUR,Andhra Pradesh,2024-12-29,1000000.0,2025-01-29,1000000.0,Work Completed,,,2025-09-02,,15,LOW
161405.0,financial assistance for construction of community hall for dorbar shnong mukroh pyllun,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,500000.0,2025-06-06,500000.0,Work partially Completed,250000.0,Payment Success,,,25,LOW
161406.0,financial assistance for construction of classroom for iohhok non govt lp school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,200000.0,2025-05-13,200000.0,Work Completed,200000.0,Payment Success,2026-03-26,200000,5,LOW
161407.0,financial assistance for construction of community hall for dorbar shnong barato,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,400000.0,2025-05-06,400000.0,Work Completed,400000.0,Payment Success,2025-11-05,400000,5,LOW
161409.0,financial assistance to office sein raij sabahmuswang for purchasing of traditional musical instruments,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,100000.0,2026-01-21,100000.0,Work Completed,100000.0,Payment Success,2026-01-28,100000,5,LOW
161412.0,financial assistance to dorbar shnong amlarem for setting up science laboratory in amlarem secondary  school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,300000.0,2026-07-10,300000.0,Vendor Identification,300000.0,Payment Success,,,5,LOW
161413.0,financial assistance towards st peter's higher sec. school for construction of school hall.,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,300000.0,2025-05-06,300000.0,Physical Inspection,300000.0,Payment Success,2025-08-26,300000,5,LOW
161414.0,financial assistance for repair of school building the office of dorbar shnong shangpung mission,repair and renovation,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,150000.0,2025-07-23,150000.0,Physical Inspection,150000.0,Payment Success,2026-01-13,150000,5,LOW
161416.0,drilling of bore well and fixing of 1.0 hp pumpset infornt of nursary at itikalapalle village,normal/others,BALRAM NAIK PORIKA,MAHABUBABAD,Telangana,2024-12-24,135000.0,2025-07-22,135000.0,Physical Inspection,132797.0,Payment Success,2025-07-30,132797,5,LOW
161417.0,financial assistance for construction of school building for albin lamare memorial secondary school,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,400000.0,2025-05-16,400000.0,Physical Inspection,400000.0,Payment Success,2026-03-24,400000,5,LOW
161418.0,financial assistance to kur le kyllung jowai for construction of crematorium.,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,750000.0,2025-10-17,750000.0,Work partially Completed,375000.0,Payment Success,,,25,LOW
161419.0,financial assistance for construction of college building for  ri war jaintia college,normal/others,ANDREW J. SYNGKON,SHILLONG,Meghalaya,2025-01-05,1000000.0,2025-07-23,1000000.0,Work partially Completed,500000.0,Payment Success,,,65,MODERATE
161420.0,"drilling of bore well and fixing of 1.0 hp pumpset near bhukya veeranna (h) at narsingapur thanda, itikalapally village",normal/others,BALRAM NAIK PORIKA,MAHABUBABAD,Telangana,2024-12-24,135000.0,2025-09-08,135000.0,Physical Inspection,134676.0,Payment Success,2025-09-15,134676,5,LOW
161421.0,gram panchayat nogaon me nogaon satoriya sadak ke kinare kaward nala nirman karya hetu,normal/others,DR. LATA WANKHEDE,SAGAR,Madhya Pradesh,2024-12-24,1000000.0,2025-01-15,1000000.0,Vendor Identification,750000.0,Payment Success,,,25,LOW
161422.0,gram panchayat mehgod ke gram korja me raghwendra singh ke ghar se krishna rajpooj ke ghar ki or c.c. road nirman karya hetu,normal/others,DR. LATA WANKHEDE,SAGAR,Madhya Pradesh,2024-12-24,500000.0,2025-01-02,500000.0,Vendor Identification,500000.0,Payment Success,,,25,LOW
